gen,score,robo
18,3055,sample.RamFire
19,3055,sample.RamFire
20,3055,sample.RamFire
21,3055,sample.RamFire
22,3055,sample.RamFire
23,3055,sample.RamFire
24,3055,sample.RamFire
25,3055,sample.RamFire
26,3177,sample.RamFire
27,3177,sample.RamFire
28,3177,sample.RamFire
29,3177,sample.RamFire
30,3177,sample.RamFire
31,3177,sample.RamFire
32,3177,sample.RamFire
33,3177,sample.RamFire
34,3177,sample.RamFire
35,3177,sample.RamFire
36,3177,sample.RamFire
37,3177,sample.RamFire
38,3177,sample.RamFire
39,3177,sample.RamFire
40,3177,sample.RamFire
41,3177,sample.RamFire
42,3177,sample.RamFire
43,3177,sample.RamFire
44,3177,sample.RamFire
45,3177,sample.RamFire
46,3177,sample.RamFire
47,3177,sample.RamFire
48,3177,sample.RamFire
49,3177,sample.RamFire
50,3177,sample.RamFire
51,3177,sample.RamFire
52,3177,sample.RamFire
53,3177,sample.RamFire
54,3177,sample.RamFire
55,3177,sample.RamFire
56,3177,sample.RamFire
57,3177,sample.RamFire
58,3177,sample.RamFire
59,3177,sample.RamFire
60,3177,sample.RamFire
61,3177,sample.RamFire
62,3177,sample.RamFire
63,3177,sample.RamFire
64,3177,sample.RamFire
65,3177,sample.RamFire
66,3177,sample.RamFire
67,3177,sample.RamFire
68,3177,sample.RamFire
69,3177,sample.RamFire
70,3177,sample.RamFire
71,3177,sample.RamFire
72,3177,sample.RamFire
73,3177,sample.RamFire
74,3177,sample.RamFire
75,3177,sample.RamFire
76,3177,sample.RamFire
77,3177,sample.RamFire
78,3177,sample.RamFire
79,3177,sample.RamFire
80,3177,sample.RamFire
81,3177,sample.RamFire
82,3177,sample.RamFire
83,3177,sample.RamFire
84,3177,sample.RamFire
85,3177,sample.RamFire
86,3177,sample.RamFire
87,3177,sample.RamFire
88,3177,sample.RamFire
89,3177,sample.RamFire
90,3177,sample.RamFire
91,3177,sample.RamFire
92,3177,sample.RamFire
93,3177,sample.RamFire
94,3177,sample.RamFire
95,3177,sample.RamFire
96,3177,sample.RamFire
97,3177,sample.RamFire
98,3177,sample.RamFire
99,3177,sample.RamFire
0,1805,sample.Walls
1,1805,sample.Walls
2,1805,sample.Walls
3,1805,sample.Walls
4,1805,sample.Walls
5,1805,sample.Walls
6,1952,sample.Walls
7,1952,sample.Walls
8,1952,sample.Walls
9,1952,sample.Walls
10,1952,sample.Walls
11,1952,sample.Walls
12,1952,sample.Walls
13,1952,sample.Walls
14,1952,sample.Walls
15,1952,sample.Walls
16,1952,sample.Walls
17,1952,sample.Walls
18,1952,sample.Walls
19,1952,sample.Walls
20,1952,sample.Walls
21,1952,sample.Walls
22,1952,sample.Walls
23,1952,sample.Walls
24,1952,sample.Walls
25,1952,sample.Walls
26,1952,sample.Walls
27,1952,sample.Walls
28,1952,sample.Walls
29,1952,sample.Walls
30,1952,sample.Walls
31,1952,sample.Walls
32,1952,sample.Walls
33,1952,sample.Walls
34,1952,sample.Walls
35,1952,sample.Walls
36,1952,sample.Walls
37,1952,sample.Walls
38,1952,sample.Walls
39,1952,sample.Walls
40,1952,sample.Walls
41,1952,sample.Walls
42,1952,sample.Walls
43,1952,sample.Walls
44,1952,sample.Walls
45,1952,sample.Walls
46,1952,sample.Walls
47,1952,sample.Walls
48,1952,sample.Walls
49,1952,sample.Walls
50,1952,sample.Walls
51,1952,sample.Walls
52,1952,sample.Walls
53,1952,sample.Walls
54,1952,sample.Walls
55,1952,sample.Walls
56,1952,sample.Walls
57,1952,sample.Walls
58,1952,sample.Walls
59,1952,sample.Walls
60,1952,sample.Walls
61,1952,sample.Walls
62,1952,sample.Walls
63,1952,sample.Walls
64,1952,sample.Walls
65,1952,sample.Walls
66,1952,sample.Walls
67,1952,sample.Walls
68,1952,sample.Walls
69,1952,sample.Walls
70,1952,sample.Walls
71,1952,sample.Walls
72,1952,sample.Walls
73,1952,sample.Walls
74,1952,sample.Walls
75,1952,sample.Walls
76,1952,sample.Walls
77,1952,sample.Walls
78,1952,sample.Walls
79,1952,sample.Walls
80,1952,sample.Walls
81,1952,sample.Walls
82,1952,sample.Walls
83,1952,sample.Walls
84,1952,sample.Walls
85,1952,sample.Walls
86,1952,sample.Walls
87,1952,sample.Walls
88,1952,sample.Walls
89,1952,sample.Walls
90,1952,sample.Walls
91,1952,sample.Walls
92,1952,sample.Walls
93,1952,sample.Walls
94,1952,sample.Walls
95,1952,sample.Walls
96,1952,sample.Walls
97,1952,sample.Walls
98,1952,sample.Walls
99,1952,sample.Walls
