gen,score,robo
49,1728,sample.RamFire(M)
50,3177,sample.RamFire(B)
50,1092,sample.RamFire(M)
51,3177,sample.RamFire(B)
51,2095,sample.RamFire(M)
52,3177,sample.RamFire(B)
52,724,sample.RamFire(M)
53,3177,sample.RamFire(B)
53,650,sample.RamFire(M)
54,3177,sample.RamFire(B)
54,72,sample.RamFire(M)
55,3177,sample.RamFire(B)
55,427,sample.RamFire(M)
56,3177,sample.RamFire(B)
56,108,sample.RamFire(M)
57,3177,sample.RamFire(B)
57,854,sample.RamFire(M)
58,3177,sample.RamFire(B)
58,1310,sample.RamFire(M)
59,3177,sample.RamFire(B)
59,351,sample.RamFire(M)
60,3177,sample.RamFire(B)
60,2588,sample.RamFire(M)
61,3177,sample.RamFire(B)
61,531,sample.RamFire(M)
62,3177,sample.RamFire(B)
62,223,sample.RamFire(M)
63,3177,sample.RamFire(B)
63,1428,sample.RamFire(M)
64,3177,sample.RamFire(B)
64,978,sample.RamFire(M)
65,3177,sample.RamFire(B)
65,2125,sample.RamFire(M)
66,3177,sample.RamFire(B)
66,431,sample.RamFire(M)
67,3177,sample.RamFire(B)
67,928,sample.RamFire(M)
68,3177,sample.RamFire(B)
68,1328,sample.RamFire(M)
69,3177,sample.RamFire(B)
69,173,sample.RamFire(M)
70,3177,sample.RamFire(B)
70,1300,sample.RamFire(M)
71,3177,sample.RamFire(B)
71,400,sample.RamFire(M)
72,3177,sample.RamFire(B)
72,168,sample.RamFire(M)
73,3177,sample.RamFire(B)
73,820,sample.RamFire(M)
74,3177,sample.RamFire(B)
74,436,sample.RamFire(M)
75,3177,sample.RamFire(B)
75,337,sample.RamFire(M)
76,3177,sample.RamFire(B)
76,511,sample.RamFire(M)
77,3177,sample.RamFire(B)
77,494,sample.RamFire(M)
78,3177,sample.RamFire(B)
78,1220,sample.RamFire(M)
79,3177,sample.RamFire(B)
79,812,sample.RamFire(M)
80,3177,sample.RamFire(B)
80,166,sample.RamFire(M)
81,3177,sample.RamFire(B)
81,2270,sample.RamFire(M)
82,3177,sample.RamFire(B)
82,364,sample.RamFire(M)
83,3177,sample.RamFire(B)
83,646,sample.RamFire(M)
84,3177,sample.RamFire(B)
84,623,sample.RamFire(M)
85,3177,sample.RamFire(B)
85,1342,sample.RamFire(M)
86,3177,sample.RamFire(B)
86,707,sample.RamFire(M)
87,3177,sample.RamFire(B)
87,1217,sample.RamFire(M)
88,3177,sample.RamFire(B)
88,691,sample.RamFire(M)
89,3177,sample.RamFire(B)
89,2608,sample.RamFire(M)
90,3177,sample.RamFire(B)
90,1285,sample.RamFire(M)
91,3177,sample.RamFire(B)
91,1156,sample.RamFire(M)
92,3177,sample.RamFire(B)
92,1632,sample.RamFire(M)
93,3177,sample.RamFire(B)
93,284,sample.RamFire(M)
94,3177,sample.RamFire(B)
94,514,sample.RamFire(M)
95,3177,sample.RamFire(B)
95,476,sample.RamFire(M)
96,3177,sample.RamFire(B)
96,359,sample.RamFire(M)
97,3177,sample.RamFire(B)
97,1053,sample.RamFire(M)
98,3177,sample.RamFire(B)
98,186,sample.RamFire(M)
99,3177,sample.RamFire(B)
99,697,sample.RamFire(M)
