gen,score,robo
38,723,sample.Crazy(M)
39,4121,sample.Crazy(B)
39,378,sample.Crazy(M)
40,4121,sample.Crazy(B)
40,888,sample.Crazy(M)
41,4121,sample.Crazy(B)
41,2836,sample.Crazy(M)
42,4121,sample.Crazy(B)
42,62,sample.Crazy(M)
43,4121,sample.Crazy(B)
43,4100,sample.Crazy(M)
44,4121,sample.Crazy(B)
44,641,sample.Crazy(M)
45,4121,sample.Crazy(B)
45,2061,sample.Crazy(M)
46,4121,sample.Crazy(B)
46,52,sample.Crazy(M)
47,4121,sample.Crazy(B)
47,2662,sample.Crazy(M)
48,4121,sample.Crazy(B)
48,3993,sample.Crazy(M)
49,4121,sample.Crazy(B)
49,686,sample.Crazy(M)
50,4121,sample.Crazy(B)
50,1142,sample.Crazy(M)
51,4121,sample.Crazy(B)
51,3967,sample.Crazy(M)
52,4121,sample.Crazy(B)
52,2752,sample.Crazy(M)
53,4121,sample.Crazy(B)
53,108,sample.Crazy(M)
54,4121,sample.Crazy(B)
54,744,sample.Crazy(M)
55,4121,sample.Crazy(B)
55,3283,sample.Crazy(M)
56,4121,sample.Crazy(B)
56,3640,sample.Crazy(M)
57,4121,sample.Crazy(B)
57,2496,sample.Crazy(M)
58,4121,sample.Crazy(B)
58,612,sample.Crazy(M)
59,4121,sample.Crazy(B)
59,2343,sample.Crazy(M)
60,4121,sample.Crazy(B)
60,2949,sample.Crazy(M)
61,4121,sample.Crazy(B)
61,587,sample.Crazy(M)
62,4121,sample.Crazy(B)
62,1177,sample.Crazy(M)
63,4121,sample.Crazy(B)
63,96,sample.Crazy(M)
64,4121,sample.Crazy(B)
64,61,sample.Crazy(M)
65,4121,sample.Crazy(B)
65,3445,sample.Crazy(M)
66,4121,sample.Crazy(B)
66,2801,sample.Crazy(M)
67,4121,sample.Crazy(B)
67,2452,sample.Crazy(M)
68,4121,sample.Crazy(B)
68,2165,sample.Crazy(M)
69,4121,sample.Crazy(B)
69,234,sample.Crazy(M)
70,4121,sample.Crazy(B)
70,2790,sample.Crazy(M)
71,4121,sample.Crazy(B)
71,2430,sample.Crazy(M)
72,4121,sample.Crazy(B)
72,2878,sample.Crazy(M)
73,4121,sample.Crazy(B)
73,1776,sample.Crazy(M)
74,4121,sample.Crazy(B)
74,2549,sample.Crazy(M)
75,4121,sample.Crazy(B)
75,3447,sample.Crazy(M)
76,4121,sample.Crazy(B)
76,3169,sample.Crazy(M)
77,4121,sample.Crazy(B)
77,456,sample.Crazy(M)
78,4121,sample.Crazy(B)
78,2510,sample.Crazy(M)
79,4121,sample.Crazy(B)
79,358,sample.Crazy(M)
80,4121,sample.Crazy(B)
80,1876,sample.Crazy(M)
81,4121,sample.Crazy(B)
81,336,sample.Crazy(M)
82,4121,sample.Crazy(B)
82,2217,sample.Crazy(M)
83,4121,sample.Crazy(B)
83,3124,sample.Crazy(M)
84,4121,sample.Crazy(B)
84,73,sample.Crazy(M)
85,4121,sample.Crazy(B)
85,1337,sample.Crazy(M)
86,4121,sample.Crazy(B)
86,1959,sample.Crazy(M)
87,4121,sample.Crazy(B)
87,2338,sample.Crazy(M)
88,4121,sample.Crazy(B)
88,488,sample.Crazy(M)
89,4385,sample.Crazy(B)
89,4385,sample.Crazy(M)
90,4385,sample.Crazy(B)
90,0,sample.Crazy(M)
91,4385,sample.Crazy(B)
91,1705,sample.Crazy(M)
92,4385,sample.Crazy(B)
92,1809,sample.Crazy(M)
93,4385,sample.Crazy(B)
93,400,sample.Crazy(M)
94,4385,sample.Crazy(B)
94,1058,sample.Crazy(M)
95,4385,sample.Crazy(B)
95,1976,sample.Crazy(M)
96,4385,sample.Crazy(B)
96,2260,sample.Crazy(M)
97,4385,sample.Crazy(B)
97,3057,sample.Crazy(M)
98,4385,sample.Crazy(B)
98,2119,sample.Crazy(M)
99,4385,sample.Crazy(B)
99,2256,sample.Crazy(M)
